exercise_id,name,category,exercise_type,primary_muscle,secondary_muscles,stabilizer_muscles,joints_involved,equipment,difficulty_level,difficulty_score,movement_pattern,body_position,instructions,precautions,common_mistakes,environment
E001,Push-Up,Strength,Compound,Chest,,,,Bodyweight,Beginner,1,Push,Lying,"Start in a high plank position with hands about shoulder-width apart. Keep your body in a straight line, lower your chest toward the floor with elbows at roughly 45 degrees, then push back up.",,,Both
E002,Barbell Squat,Strength,Compound,Quadriceps,"Glutes,Hamstrings","Core,Spinal Erectors","Hip,Knee,Ankle",Barbell,Intermediate,3,Squat,Standing,"Stand with the bar secured across your upper back, brace your trunk, bend at the hips and knees to descend under control, then drive through your feet to return to standing.",Use a manageable load and maintain control throughout the movement.,"Knees collapsing inward, losing trunk position, using more weight than can be controlled",Gym
E003,Pull-Up,Strength,Compound,Back,"Biceps,Rear Shoulders","Core,Forearms","Shoulder,Elbow",Pull-Up Bar,Intermediate,3,Pull,Hanging,"Hang from the bar with a controlled grip, brace your trunk, pull your body upward until your chin approaches bar height, then lower yourself under control.",Avoid uncontrolled swinging and use an assisted variation if needed.,"Using momentum, incomplete range of motion, dropping quickly during the lowering phase",Both
E004,Dumbbell Lateral Raise,Strength,Isolation,Shoulders,,Core,Shoulder,Dumbbell,Beginner,2,Raise,Standing,"Stand tall holding light dumbbells at your sides, raise your arms outward under control to around shoulder height, then lower them slowly.",Use a load that allows controlled movement without forcing the range of motion.,"Swinging the weights, shrugging excessively, using too much weight",Both
E005,Bodyweight Reverse Lunge,Strength,Compound,Quadriceps,"Glutes,Hamstrings",Core,"Hip,Knee,Ankle",Bodyweight,Beginner,2,Lunge,Standing,"Stand upright, step one foot backward, lower under control by bending both knees, then push through the front foot to return to standing.",Use a comfortable step length and maintain balance throughout the movement.,"Front knee collapsing inward, losing balance, taking an excessively short step",Both
E006,Brisk Walking,Cardio,,Full Body,"Legs,Glutes",Core,"Hip,Knee,Ankle",,Beginner,1,Locomotion,Standing,Walk at a purposeful but controlled pace while maintaining an upright posture and natural arm swing.,Choose a pace and environment appropriate for your current ability.,"Overstriding, excessive forward leaning, increasing pace beyond comfortable control",Both
E007,Romanian Deadlift,Strength,Compound,Hamstrings,"Glutes,Back","Core,Spinal Erectors","Hip,Knee",Barbell,Intermediate,3,Hinge,Standing,"Stand tall holding the bar in front of your thighs. Brace your trunk, push your hips backward while keeping the bar close to your legs, lower under control, then extend your hips to return to standing.",Use a load you can control and stop the descent before your trunk position deteriorates.,"Rounding the back, turning the movement into a squat, letting the bar drift away from the body",Gym
E008,Dumbbell Bench Press,Strength,Compound,Chest,"Triceps,Front Shoulders","Upper Back,Core","Shoulder,Elbow",Dumbbell,Beginner,2,Push,Lying,"Lie on a bench with a dumbbell in each hand, keep your feet stable, lower the dumbbells under control toward the sides of your chest, then press them upward.",Use a stable bench and a weight you can control throughout the full movement.,"Flaring the elbows excessively, bouncing the weights, losing shoulder or wrist control",Gym
E009,Seated Cable Row,Strength,Compound,Back,"Biceps,Rear Shoulders","Core,Forearms","Shoulder,Elbow",Cable Machine,Beginner,2,Pull,Seated,"Sit upright at the cable row station, brace your trunk, pull the handle toward your torso while drawing your elbows backward, then return the handle under control.",Choose a load that lets you maintain a stable torso and controlled range of motion.,"Leaning far backward, shrugging the shoulders, using momentum",Gym
E010,Plank,Strength,Compound,Core,"Shoulders,Glutes","Back,Hips","Shoulder,Hip",Bodyweight,Beginner,1,Isometric,Lying,"Support your body on your forearms and toes, keep your trunk braced and your body in a straight line, and hold the position while breathing normally.",Stop or shorten the hold if you cannot maintain a controlled neutral position.,"Hips sagging, hips rising too high, holding the breath",Both
E011,Hip Flexor Stretch,Stretching,,Hip Flexors,Quadriceps,,Hip,Bodyweight,Beginner,1,Stretch,Kneeling,"Begin in a half-kneeling position, gently shift your pelvis and body forward until you feel a comfortable stretch at the front of the rear hip, and hold without bouncing.",Use a comfortable range and avoid forcing the stretch into pain.,"Excessive lower-back arching, bouncing, pushing too far into discomfort",Both
E012,Bodyweight Glute Bridge,Strength,Compound,Glutes,Hamstrings,Core,"Hip,Knee",Bodyweight,Beginner,1,Hip Extension,Lying,"Lie on your back with knees bent and feet on the floor. Brace your trunk, press through your feet, lift your hips until your body forms a controlled line from shoulders to knees, then lower slowly.",Use a comfortable range of motion and avoid forcing the lower back into excessive extension.,"Overarching the lower back, pushing mainly through the toes, allowing the knees to collapse inward",Both
E013,Goblet Squat,Strength,Compound,Quadriceps,,,,Dumbbell,Beginner,2,Squat,Standing,"Hold a dumbbell close to your chest, brace your trunk, bend at the hips and knees to squat under control, then push through your feet to return to standing.",,,Both
